Complaint ID,Consumer complaint narrative
4429479,"On Wednesday XX/XX/2021 I was given a job offer for XXXX in XXXX XXXX XXXX, MN. The job offer ended up being a fake job and the scammers are using the identity of a man named XXXX XXXX. The scammers sent me a check for {$6500.00}. I was to deposit that money into my bank account, which I did on Thursday XX/XX/XXXX, and pay a third party for the equipment to do the job, which I did on Friday XX/XX/XXXX. I was told to pay the amount of {$6000.00} into an account for the computer equipment and to XXXX {$550.00} into a separate account for training. The original check for {$6500.00} ended up bouncing and upon discussing the situation with members at the XXXX bank in XXXX XXXX XXXX and the US Bank in XXXX XXXX XXXX we believe that this was a fake job scam. 

The account that I deposited the {$6000.00} into was an account with XXXX bank belonging to a XXXX XXXX. Account number XXXX. The XXXX account belonged to an XXXX XXXX. His account number is XXXX. I am unsure which bank this account is associated with but I believe that it is US Bank. Both of these counts belong to scammers and the reason why I am writing this complaint is to have these accounts looked into. I have filed a report with my the XXXX XXXX XXXX police department. The case number is XXXX. I also filed a report on the scammers with the FTC. I was told that filing a report with the CFPB would also be a necessary step since this is a banking issue. 

I have spoken with US Bank several times regarding this issue as well as XXXX bank. 

I have included the bank statement with the dates and transaction orders below. I have also included a picture of the fraudulent check as well as pictures of the cashiers check receipt and the money order receipts."
4516979,"I applied for job on XXXX for an XXXX XXXX position for a school. The listing was taken off the website, so I figured someone took the position, however, a person named XXXX emailed me and said she would send my email to a partner for a XXXX XXXX job. The job described that I would be running personal errands and the money would be for donations ranging from foster care to invoices to colleagues. We exchange information and the partner of the school said I was to start the following week, which was the week of the XXXX of XXXX. On the XXXX, the first purchase was for a XXXX XXXX XXXX for XXXX, and yesterday for a XXXX money order which was split into 3 orders : 2 for {$1000.00}, 1 for XXXX. I got an inkling to check my bank account, only to see it was overdrawn. I called my bank and they notified me that the check bounced. I did further research to see if any other XXXX XXXX  jobs had the same format of wanting to have people be XXXX XXXX for approx, 30 hours per week and for a set price per week, and for helping donate to foster care systems, to which I found plenty. I also went ahead called the school district, XXXX XXXX XXXX to verify if they were the ones who hosted the job listing, to which it was verified they did not, but they did have it for a XXXX position which has already been filled. I went to the bank Friday with photocopy evidence of our exchange to show that I truly thought it was a legitimate job offer, and that I wouldn't deposit a fake check as a member who just got my account out of the negative due to being homeless and unemployed. My bank will not reverse the funds, even though the representative I spoke to Monday inspected the check, and a different representative I spoke to Friday stated that this was a "" common thing '' that happens, which I found odd because why not place proper protocols for people who are innocent so they won't be at risk?? The money orders were sent to an address in XXXX, TX, which they may not be at anymore. They money orders also have serial numbers to the which I have, AND I sent an email to XXXX card balance right now, as well as forward emails of the listing and the exchanges. I've filed a police report, FTC, Internet crime report, USPS, the whole nine."
4553771,"I was a victim of a fraudulent job scam. I deposited a check the check bounced the bank froze my account I called them this happened on XX/XX/XXXX the check was XXXX. I called and spoke to several people telling them what happened they were inhuman taking all my IRS payments, stimulus money XXXX to settle the debt. They cleared a fraudulent check. I paid through XXXX I begged them to help me and not take all that money in a matter of days they recouped by taking everything that came their way. Let me and my children with XXXX nothing to live on. The Citizens bank should not clear checks in full amount until they have their funds. The XXXX XXXXXXXX XXXX XXXX should compensate me."
4635636,"I came across with XXXX XXXX XXXX XXXX  XXXX  and get {$400.00} per week I fill up all my information weeks later I got a check over the mail for XXXX sane that XXXX needs to go today XXXX XXXX XXXX I deposit through XXXX {$500.00} in their account and then I realize that its scam, he pushes me to go and do a money order and send it to them via overnight mail then I realize that its a scam I called XXXX XXXX right away and try to stop the transaction I file a claim and XXXX XXXX just sent me XXXX XXXX XXXX that same they can not credit me back I wanted to see if someone can please help me Im unemployed right now and I thought that its gon na be nice to make an extra money I cant believe I fell into a scam"
4707982,"Was a victim of a job scam. I posted {$1200.00} I informed my bank of it but got rejected for receiving my money back and my account was closed for no reason. It officially closed on XX/XX/2021 but they blocked me from opening any other bank account with other banks. I shouldn't access my bank for over a month and went constantly to get the rest of my money out of the bank. Couldn't get any of my records because they shut down my account. 

I have a police report, fake check, fake job employment letter, and text messages. with all this information my bank still denied it was fraudulent."
5187241,"On Tuesday, XX/XX/2022, I received an email through my XXXX University student email of a prospective employer seeking employees. I replied to the email address, XXXX, to inquire further. I was then answered by an individual calling themselves XXXX XXXX XXXX who was employed with the Department of Disability Health and Human Services. He claimed he was a XXXX with XXXX University. He then provided me with a letter of employment and XXXX paper check for deposit. XXXX for {$8200.00} and {$4.00}, XXXX. I was told to deposit the {$4300.00} in my back account and wait for the deposit to clear. {$220.00} was cleared, he then requested for {$200.00} to be sent to XXXX XXXX XXXX via XXXX. In addition, I was then told to send {$400.00} via zelle to XXXX and XXXX. 

My bank, Navy Federal Credit Union has denied responsibility and has forced me to relinquish my accounts without full recovery of my funds."
5215412,"I stupidly sent {$210.00} using XXXX from my account at Key Bank to an email address on XX/XX/2022. I then realized this was a fake job scam. I did a live chat with a Key Bank representative on XX/XX/2022, asking if the transaction could be reversed and my money restored. This person said no, there was nothing Key Bank or XXXX could do to help. The bank should offer customers some sort of insurance in such cases, just as credit card companies do."
5238372,"I accepted an at home job that was fraudulent. They asked me to deposit funds into my account and forward them to the vendors that were to provide the computer setup for my home office. The checks bounced and I had already forwarded the funds. I believed that they wanted to get the funds into my name so they could 1099 if I quit. I submitted a police report. I lost {$4500.00} to the fraudulent job scam. It was an actual job that I applied for, but a fake HR representative. I contacted XXXX XXXX and let them know that there was a fraudster representing themselves as their representative. I provided them with all the information regarding the emails involved I also was victim to a romance scam. He claimed he was a solider and needed money to apply for leave. I Bitcoin him {$4000.00}. His online profile has pictures of a XXXX  in XXXX after further investigation and searching his picture."
5310888,"The internet criminals hacked my personal information knowing that I am in a process of grieving and I was looking for a full-time job. The criminals connected with me through XXXX, and then suggested to use XXXX and XXXX apps. I was trapped in the job scam. The criminals attacked me mentally continuously, and instructed me to wire the money from my XXXX checking account on XX/XX/2022 with amount of {$5000.00}, from my XXXX saving account on XX/XX/2022 with amount of {$95000.00} and on XX/XX/2022 with amount of {$100000.00}, to XXXX XXXX Bank, an online profile bank of Coinbase company. All transactions were completed and confirmed by Coinbase Company. However, all the money wired into Coinbase online profile bank were disappeared. 

I filed request on XX/XX/2022 with Coinbase company for recover these funds. Coinbase company emailed me the results of the investigation on XX/XX/2022 that "" Coinbase has no information on ownership of external cryptocurrency addresses, and because this is an external process, there is no way to cancel, reverse, or recover these funds on your behalf. '' What Coinbase is saying, is that Coinbase has no idea where my money went, and Coinbase has no idea who the third party is and that who has wired out my money from their online profile bank. I just don't understand if an unknown third party is performing a criminal activity, wiring out somebody's money from Coinbase, why Coinbase do not block the transactions or hold the transactions if Coinbase do not recognize the third party in order to protect Coinbase clients."
5541457,"I was the victim of a part time job scam. The company promised me payment of {$300.00} / week for having advertising decals put on my car, and sent me a check that included funds for the first week and {$3000.00} to pay the person that was putting the decals on the car. I transferred the funds as soon as the check cleared the bank. Then the company told me that the person coming to place the decals was in an accident and that they were setting up someone else to receive the funds. They then sent me an additional check for {$3000.00} that check cleared U.S Bank ( where I've banked for 20 year ) or so I thought. I transferred the funds to the next person and as soon as I did that, my account was locked. The message I received was on my mobile banking app was that I couldn't get into my account because of a problem on U.S. Bank 's end. I didn't find out until later that day that my account was locked due to fraudulent activity. I left a message on the e-fraud officer 's line and never received a call back. The check cleared on XX/XX/2022 and I reported the fraud at XXXX that evening after I found out why my account was locked. I NEVER received any notice from U.S. Bank that there was an issue on my end or that the check had bounced. 

After not hearing back from the e-fraud representative I called U.S Bank fraud line again on XX/XX/XXXX, in the morning. I reported the whole issue to someone at U.S. Bank who said they would do an investigation and that a branch manager was the only one that could reopen my account. On XX/XX/XXXX in the afternoon I called the branch manager who said that he couldn't reopen my account until we had funds to put in as the transfers and bounced check left us with a - {$800.00} balance. On Thursday afternoon XX/XX/XXXX, I called the fraud line again to see how the investigation was progressing, I spoke with someone in the e-fraud and fraud departments who said that my account was being closed, and our mortgage payment, which had been issued on XX/XX/XXXX had been sent back, resulting in the overage being paid back and insufficient funds AND a {$100.00} late fee for paying our mortgage. The U.S. Bank fraud representative told me that I was the one who had committed fraud and therefore, I was not eligible for an account with them. I was also told that they would not be doing an investigation into the scam or into the XXXX accounts of the unknown people that I made payments to. There was no attempt to gather the documented information that I had and essentially U.S. Bank refused to help at all. So, now we are out the {$2500.00} that we transferred to the scammers AND we are out bounced check fees and another couple of hundred for returned payment fees on bills that we had scheduled to be paid. AND we have to wait another 4-10 business days to get the remainder of the returned mortgage payment to try and open a new checking account somewhere else. We will NEVER use any U.S Bank account or product again as I feel like they have been complicit with the scammers in taking advantage of an already horrible situation and charging us added fees AND making us out to the be the ones guilty of fraud. I hope that no one ever has to experience a situation like this and that people pull their accounts from U.S. Bank and invest somewhere else."
5632648,I am a victim of job scam but also a victim of Chase deposit department. A company ( scammers ) asked me to deposit a check of {$2200.00} ( then later another check of {$3000.00} ) to my account and Chase cleared the check and money was available so I made XXXX different XXXX payment. I believed the check was legitimate because money was available to withdraw. {$2200.00} was clearly deposited into my account. I as a customer believed Chase. Chase should have not cleared the check if the check was altered or fraudulent because chase did not clear the XXXX check ( {$3000.00} ) Chase then found out a few days later the check was altered and took the {$2200.00} out of my account and also charges me {$12.00} for altered check. Chase should have not cleared the check at the first time. I as a customer believed that the check was legitimate I had no idea the checks were fraud!! Why did Chase clear the deposit and money was available. I would not made XXXX payments to scammers if chase did not clear my deposit. If chase found it earlier if check was altered. I lost money to scammers but I think I lost it to Chase not scammers. Chase should have not deposit my check. Chase should have found out the check was altered I could have prevented the scammers if Chase did not clear the check like the XXXX check i am a victim of scammers and Chase deposit department.
5668688,"During the week of XX/XX/XXXX, I was contacted by "" XXXX '' from "" XXXX XXXX XXXX XXXX '' ( supposedly located in XXXX, GA ) about a proofreading and copyediting job that I applied for on a freelancing platform called XXXX. She said that I would be a good candidate for the position, and her associate, "" XXXX XXXX, '' will get in touch with me over XXXX should I be selected for the role. After talking to XXXX, she informed me that I had been selected for the role. She sent me an offer letter for me to sign and return, and startup funds totaling {$4600.00} to purchase work equipment ( i.e., XXXX XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX XXXX, XXXX XXXX XXXX, and installation & handling fee ). On Thursday, XX/XX/XXXX, XXXX instructed me to contact the company 's approved vendor representative, "" XXXX XXXX, '' via text message to transfer the funds through XXXX to purchase the necessary work equipment. XXXX instructed me to transfer the funds in {$500.00} increments. After I transferred a total of {$1500.00}, my bank ( i.e., Bank of America ) alerted me that this was a scam and that I should stop all communications with these individuals. In total, I lost {$1500.00} to this job scam. 

I filed a claim with my bank immediately to see if they would credit the amount that I transferred to XXXX. However, after waiting for a period of 12 days, Bank of America informed me that they were unable to approve my claim because their records indicated that the transfers were completed according to my instructions, so, therefore, no errors occurred on their end. I'm disappointed in their response because I believed my situation met the parameters set forth under Regulation E ; however, there was no mention of that anywhere in their letter. They are currently in touch with the bank that received my transfers ( i.e., XXXX XXXX ) in an attempt to recover the funds. This may take up to 45 days ( as of XX/XX/XXXX )."
5762283,"I fail for a Job Scam and even with all the proof that had gone to the proper authority to report the company that scam me to cash a check at XXXX they still decide to ban me for life at open any account with them than they put my XXXX checking account charged off with a balance owed also the The charge-off is not reversible so this happen to me because I make one mistake .also their Customer Advocacy XXXX XXXX XXXX was completely useless all they did was toe the company line they did not help me what so ever. 

Ok here how all this mess started when indeed sent me a email about a remote work from home data entry job so I apply than I got a email like this from XXXX XXXX, XXXX "" Dear Prospective Employee, Our XXXX XXXX XXXXXXXX has received, reviewed, and evaluated the resume you posted on ( Indeed ) and you have been shortlisted for an online interview because we strongly believe your skill set meets the desired criteria. For the position : ( XXXX XXXX XXXX XXXX XXXX ), We believe you have the required qualifications to undergo an online interview. Following the newest online screening introduced by The Bureau of Human Resources, you are required to download the Telegram application ( on your mobile device or PC ) via XXXX  and set up an account to contact XXXX XXXX XXXX, XXXX of the Hiring Managers, via XXXX XXXX  by adding up her profile @ XXXX  or visit the XXXX link XXXX XXXX XXXX, 1which can be used to identify her for the online interview and comprehensive job details. ( If you already have an existing XXXX account, you may proceed with it as well for the online interview ). Our starting salary for the position is {$25.00} per hour ( Working hours are flexible Monday Friday; full-time & part-time ), pay cycle is weekly or bi-weekly depending on your preference. Your timely response matters a lot. We are looking forward to having you on the team. Interview Scheduled : Online. Time : ASAP Venue : Online Via XXXX XXXX is Available XXXX XXXX. '' So I did what it say and got into contact with XXXX XXXX on telegram here is so of what she say '' Im XXXX XXXX XXXX, Hiring Manager at XXXX XXXX. I will be the one to brief you about the positions and the company. May I know your full names Age and where you are located ( City, State )? '' and "" the check will be covering up for both your working and training materials as well as setting up a mini office in your home which i believe you do have a space provided for that? '' and "" Good morning Here 's the Tracking # to the to the check for the purchase of your workinbg equipment that was mail to you XXXX required to track it on XXXX to know the delivery status. Once that has been done, get back to me, let me know the status of the package ... Copy that? '' And after I got in to contact with the bank about the check I try to check deposit and than when back to talk to XXXX and tell her what my bank said "" Hi ma'am just got done talking to my bank here is some of what they had to said about the check that was sent to me "" I also show the account is under review at this time, this can take anywhere from a week to over a month to complete. We will mail you a letter once the review is completed. While the review is in process, you will not have debit card or Online Banking access to the account and will want to go into a branch for any transactions. I am sorry for any inconvenience this causes. 
We don't know yet, we don't know what the reason was for returning the check unpaid yet, I was just saying those are some of the possibilities. '' "" Okay, so what I would do is contact them, tell them you deposited the check and it is being returned unpaid. They should be able to tell you your next steps. '' After this messenger I been trying to get back in to contact with them but no answer me and the bank XXXX has ban me for life all because I make the mistake of failing for a Job Scam"
5788206,"On XX/XX/XXXX I was contacted by a woman named XXXX XXXX who claimed to be a job recruiter from a company called XXXX and she got my resume from indeed. I was interviewed on XXXX XXXX on XX/XX/XXXX and was hired on XX/XX/XXXX. I received {$4100.00} via check on XX/XX/XXXX in which {$400.00} was processed on that day and the remainder of it the next day. So the check cleared and the funds were available in my account. XXXX claimed the money was too pay for the work equipment I would receive for the job which she sent a list for. I was instructed to send {$1000.00} too a person and that was done via XXXX then she instructed me to send to another person whos names didnt match up. So after I notified my bank and it was a bad check and the scanner got XXXX. After weeks of contacting the FTC, Wellsfargo, XXXX and the fbis online fraud I have not gotten any help with retrieving my lost funds. My bank hasnt done anything besides contact the scammers bank and try to offer a refund too no avail. Now my account is in the negatives and I cant even close it out."
5793778,"I was involved in a job scam. I was offered a job as an assistant to a lawyer who sent me a check which he asked me to donate to a charity. I received the check on XX/XX/2022 in the amount of {$4900.00}. I was instructed to deposit it into my bank account and send {$1500.00} through Venmo to an account named XXXX XXXX on XX/XX/2022. I then found out that the check was fraudulent, and it bounced leaving my account balance at $ XXXX. XXXX and Venmo both have proven unhelpful in having the money returned to me."
5801649,"On XX/XX/XXXX, I received a job offer from XXXX XXXX XXXX On XX/XX/XXXX, the company informed me that to start my training I needed new office equipment because the company forbid the use of personal computers. XXXX told me they would send me a start-up check of {$8900.00} so I can acquire the equipments. On XX/XX/XXXX, I received a check for {$8900.00} from XXXX XXXX XXXX. I was told to deposit the check into my account at any ATM, which I did because Bank of America was closed by the time I received the check. By XX/XX/XXXX, I checked my online bank account and the check had cleared. I tried to purchase the office equipment online from a website provided to me by XXXX ( XXXX XXXX XXXX ). Bank of America did not permit the online transfer, and Bank of America told me I would have to go to a physical bank to be able to send the funds to XXXX XXXX. 

On XX/XX/XXXX, I went to the Bank of America location closest to my house ( XXXX XXXX XXXX XXXX, XXXX  XXXX, Oklahoma XXXX ). I asked the bank teller assisting me if the check for {$8900.00} from XXXX had cleared and if the funds were available to me, and they said yes. XXXX told me to get a cashier 's check in the amount of {$8600.00} to pay for the office equipments and make it payable to XXXX XXXX ( an alleged supervisor for XXXX XXXX ), and deposit it into her account at XXXX XXXX  XXXX So, after getting the cashier 's check from Bank of America, I proceeded to XXXX XXXX  to deposit it, as instructed by XXXX. 

A few hours after depositing the cashier 's check at XXXX, Bank of America had notified me that the original check from XXXX for {$8900.00} had been put on hold and the funds were no longer available to me. I called Bank of America to inquire about why the check was suddenly being put on hold after the bank teller told me the check cleared and the funds were made available to me in a cashier 's check. Bank of America told me that the reason why the check was being put on hold was because the check was large, so it would take a few more days to go through. I questioned Bank of America, asking why they would initially clear a check and make funds available without verifying the check first. At this time, the cashier 's check Bank of America had issued to XXXX XXXX had already been cashed by XXXX XXXX, leaving my bank account with a negative balance because the funds from the {$8900.00} check were suddenly no longer available. 

On XX/XX/XXXX, Bank of America closed my account without notifying me first. I called them to find out why my account had been closed, and they told me it was because I had deposited a fraudulent check from XXXX for {$8900.00}. I explained on the phone that I had no clue it was a counterfeit check, and I deposited the check into my account under the assumption it was legitimate. I questioned the representative I spoke to, asking again why Bank of America cleared the check and made the funds available without verifying the check first. The representative I spoke to was unable to give me a direct answer. 

I then pieced together that the job offer I received from XXXX and the XXXX XXXX website provided to me was a scam. 

When Bank of America closed my account, they took all the money that was in checking and savings account, which totaled to {$6700.00}. They then proceeded to go to my mom 's savings account ( because my account is linked to hers ) and they took out {$1800.00} as a transfer to overdrawn related account. In total, Bank of America took {$8600.00}. 

I filed a police report about the job scam. I sent a copy of the police report and other related documents, including specific information about the job scam, the name of the account holder and the account number of where the cashier 's check was deposited into at XXXX XXXX, to Bank of America so they could conduct an investigation. 

I have been calling Bank of America about the ongoing investigation for almost 3 months, asking whether they have been able to retrieve the funds from XXXX XXXX  ( where the cashier 's check was deposited ). Every time I call, Bank of America tells me the investigation is still ongoing. 

In actuality, Bank of America is no longer investigating the situation because they have already collected my money. This situation could have been avoided if Bank of America had verified the check from XXXX before making the funds available to me. A check for such a large amount ( {$8900.00} ) should have been verified before being made available to a customer."
5805173,"On XX/XX/XXXX, XXXX XXXX messaged me on XXXX asking if I wanted money. She didn't tell me what company she worked for, she just said she ran her own business. Being an unemployed, XXXX XXXX XXXX, I needed money to pay for tuition so I said yes. She emailed me a check of {$2500.00} and then asked for me to send {$1000.00} to her grandma to pay for her medical bill. I sent the money and then she asked me to send another {$1000.00} to her doctor. My mom saw the charges and told me it was a scam and I called my bank, USAA, and explained everything that happened. They told me that I would have to pay for the money I sent even though it was a scam."
5819576,"About three weeks ago, I was involved in a job scam while looking for a summer internship. During this scam, I separately transferred {$3300.00} to the scammers through XXXX since the scammers told me I needed to purchase the training materials for that internship. For this issue, I filed complaints on CFPB two weeks ago, and Wells Fargo, the brand of banks I hold with, would like to assist me as well, so this issue was done. However, I found there was still an issue I needed to solve right now. As the scammers promised, they would reimburse the fee by sending me a picture of a check through email. That check was {$1900.00}. I scanned that check on my mobile bank APP on XX/XX/XXXX, and Wells Fargo recognized the check was fictitious, and they could not process it. Because of this issue, they had to close my bank account. I thought Wells Fargo just wanted to prevent me from further fund losses, so I applied to open another account at Wells Fargo since a banker said I was good to open another account. I opened a new bank account at a branch on XX/XX/XXXX, but I received a disclosure letter from Wells Fargo for this new account yesterday, and the reason was "" the closure by Wells Fargo or its affiliates of a previous account [ I ] owned ''. I phone-called Fraud Prevention Contact Center at Wells Fargo XXXX and the representative said that Wells Fargo could not trust me anymore just because I scanned a fictitious check, so he asked me to open a bank account at another bank 's brand. 

Although scanning and depositing a fictitious check is my fault, I am a victim of this job scam, and I just want to follow the instruction in order to have this internship since I had not doubted those people were scammers at that point. After online researching, I found I may be on XXXX. I could not accept this result, and I expect Wells Fargo to help me out of this issue because I am also a victim, so I can have a standard bank account as I used to, and I do not want this issue to negatively affect me in the future."
5833930,"I was offered a job interview with XXXX XXXX, a XXXX company. The interview was scheduled to be taken on the XXXX app ( which later I identified was used as it allows to Delete messages from the sender as well as receiver 's end ). My interview was completed by XXXX XXXX XXXX on the XXXX app via text messaging and I was offered a job on XX/XX/2022 by XXXX ( XXXX ). I had asked for three weeks before starting the new job. As per their requirements, they were supposed to send me a check for buying remote work-related equipment. I received the check by XXXX  package by XXXX XXXX and asked to communicate on XXXX. I had been communicating with both XXXX XXXX and XXXX. Once the amount was cleared by Bank of America on XX/XX/2022, and was reflected as deposited in my account balance. They asked to me to transfer {$1000.00} through XXXX from my bank account to XXXX ( XXXX ), their equipment delivery contractor who would be sending me equipment at my residential address. Once I sent screenshots of the transfer and payment confirmation, I was asked to transfer the remaining {$800.00} to her again. When asked why was the whole amount not transferred to her, I was told sometimes employees have a minimum {$1000.00} limit which leads to rejection, after which I transferred and sent the confirmation of the payment on XX/XX/2022 night. Today, on XX/XX/2022 I received an alert from Bank of America that my account balance is below {$0.00}. After checking, the check deposited was put ON HOLD as it was a fake check and scam. After trying to contact the manager XXXX XXXX, he deleted all the messages from the XXXX app and mentioned it is a fake contract. He also texted if I contact him, he will hack my bank account. I immediately contacted Bank of America, after 4 hours of waiting and talking to merely 2 people and repeating the story, Bank of America did not help me to dispute a transaction or cancel the transaction. They transferred me to XXXX who after 1 hour got connected and took my details and gave me a Case Number. They said they will try to get money from Bank of America as I have no money in my account, but they can not say anything. I reported to the local police officer, who was kind enough to take all details and screenshots and provide me with a case number. I would like to alert other people and the official company being used for this fraud."
5834474,"My name is XXXX XXXX and I am a Truist customer. I have been banking with Suntrust years prior to the merger and I've never faced fraudulent activity of this caliber since the merger of the two firms, Suntrust and BB & T. 

I have been dealing with these issues since XXXX. I am a recent XXXX XXXX looking within the job market. I was under the impression that I was employed remotely with the company XXXX, and I was sent checks for the purchase of office equipment. I sent the first check through XXXX to the "" equipment suppliers '' after doing a mobile deposit and no red flags were raised because Truist cleared this money. I believe the next day I was messaged by someone on XXXX, where I announced my job opportunity, she then alerted me that it may be a scam. These scammers sent her a check as well, but luckily for her, her bank detected that the check was fraudulent and no further action was taken. I had just been sent another check that day, which was also cleared by the bank, but instead of sending it, I let it sit within my account. 

Realizing my predicament, I sat on the phone for hours to speak with a Truist representative to get hung up on twice and then finally be told I need to go into a branch to create a claim. After that, I went to the bank to freeze the account and cancel all credits and deposits coming into the account. The money that was sitting in my account was removed by the clerk and my claim was filed. The next day a police report was filed. 

There was paperwork that needed to be filled out, it needed to be sent back into the claims department within 10 days of them sending it through the mail or your claim would become invalid. I believed this was infeasible, and after 6 days of waiting I was finally able to get a Trusit representative to email the documents because they still had not arrived in the mail. I filled out the paperwork, I added my police report case number and emailed back the documents. The original claims paperwork arrived over two weeks later, way past the 10-day period. I signed all the documents they needed me to sign to authorize the claim to remove liability from me. My claim journey began. 

( **side note : Before moving to Suntrust I was a XXXX client. I was hit with fraudulent activity there because someone got ahold of my bank information. The case was resolved, the account was closed and I was reimbursed for my loss all within the same day of filing that fraudulent claim. *** ) Truist representatives, not all but some, gave attitude to me as I tried to resolve these issues both through their call centers and within the banks. They were not very knowledgeable, every representative had a different explanation for my account and its activity. I was recommended from department to department to review my case. I was told that I would not be held liable for all the overdraft fees and miscellaneous fees that have since appeared on my account since the beginning of the claim. I was told my police report would remove liability from me to be forced to pay the fraudulent check money back. I have also been given the excuse that it takes Truist 5-7 business days before a check is reviewed through mobile deposit which is why the check was cashed. Which in turn, also means that scammers have 5-7 business days to receive the funds before Truist can identify that the activity is fraudulent. Allowing these organizations to cash checks that can not be tracked or traced back to the person the money was sent to. 

My account is now - ( {$2000.00} ) dollars and my claim for reimbursement has been denied because, according to the mail I received, "" The client has not suffered a net loss of funds ''. I've called multiple and different departments about this decision, I was told there was nothing they could do and I was told to report to a branch. I reported to a branch and they told me there is nothing they could do, I need to call the department. I was sent back and forth before finally being told my account is still under investigation, which disregards and invalidates the letter I received. The teller could not hand me any tangible proof that my case was still under investigation. I quote, "" They're trying to get them, the scammers, to send the money back. '' So my question was, "" Will I still be held liable if the scammers dont send the money back? I can guarantee they will not, it's their job as scammers. '' Then the teller shrugged as a response. 

I, again, called multiple departments to file a rebuttal because I was constantly being redirected or told it's a different department that handles rebuttal claims. After two weeks, I was finally able to get the rebuttal filed. Again, I received no tangible paperwork to support the claim through email or mail. By mid-XXXX, Truist sent me a notice saying that the account will be closed and the difference left will be reported to my credit. I called the bank to be told my rebuttal has not been recognized in the system yet. After another two weeks, I reached out again because I had not heard from them. As I predicted, they could not obtain the money their system cleared and sent to the scammers, so my rebuttal was denied. 

As I said earlier, I am a recent XXXX XXXX. I have a XXXX  checking account with Truist. It is not fair of Truist, as a bank, to have a faulty system where their customers lie and remain the main victims. The firm is refusing to take any blame for the activity among customer accounts. They simply released a statement saying that, "" Our customers are our main priority ... '' but show otherwise when their customers need them.

Waiting within the lobby areas of Truist branches to speak with representatives, I learned I was not the only one there disputing a fraudulent charge on an account. Suntrust customers are reporting checks being cashed that 1. ) weren't even endorsed and 2. ) are BB & T checks. These customers have been with Suntrust for 10+ years and never BB & T, yet the bank still allowed these checks to not only be cleared but dispersed. I've researched more and found that since the merger, I am not the only one who has had issues with Truist and their fraud security problem. Small businesses, families and individuals alike have all been negatively affected because scammer organizations realize there is weakness in Truist 's security and these scam organizations are exploiting it. Instead of Truist protecting and helping minimize the damages occured, we, the customers, are being blamed and held liable for the occurence. 

Truist 's customers are the ones who are truly being harmed from their lack of security since this merger. This is not just about mobile deposits, there are cases where people have checks being cashed from outside of the state in which they reside and Truist is clearing them, leaving people with over $ XXXX worth of losses. The bank doesn't reimburse this money to clients, cardholders are expected to pay it back to the bank. 

Truist bank is active on social media platforms in order to speak directly with their clients. Since the fraudulent activity, clients have spilled into their comments throughout different social media platforms expressing their frustrations and anger with Trusit bank. Since then, the bank has cut off their commenting on all their social platforms, they've stopped responding to customer direct messaging through these platforms, and they've also had their representatives on XXXX cut off their messaging ability. The bank is closing off communication from their clients. Call centers and branch visits go nowhere. 

I have filed a complaint with the XXXX  and I am filing a complaint with the Department of Banking and Finance as well as Consumer Finance. We, their customers, are being ignored and forced to pay money to them for their faults. I don't believe that is fair, also considering that prior to the merger, both Suntrust and BB & T were fairly trusted banks. Now, customers are pulling their money from Truist and banking elsewhere before any more damages can be done. A firm that publicly claims to have their customers best interest prioritized yet ignores their customer in their time of need"
5844349,"Hello I was recently victim of a work at home job scam which eventually lead to the closing of my bank account being closed. My bank ( Wells Fargo ) had put a check through which I received at the inception of this scam but lead me to believe that this entity was legitimate. Especially since I had recently been informed of a charge in XXXX which they contact me on and I denied so they closed my account with my permission and sent me a new card with a new ATM number and also, I am going through a separation/divorce and my partner deposited funds on the second settlement from a savings account rather than the checking he normally did and the bank froze the funds for 7 days. With this kind of protection in the recent past I assumed that when the check cleared from the unknown scammers it was a sign that the bank authorized it and it was a legitimate account. After the so-called job HR person had me transferring funds via money apps I figured something was not right. Three days later my bank sent me an email telling me they closed my account and the check was a fraud.

I contacted them and told what happened and they reopened a new account for me but placed the fraud check charges into my new account as a debit and has left me negative and anything I deposit as payment for this scam. I have sent them all of the documentation of the scam and asked for a manager to contact me ( see below ) but received no response. 

What can I do? 

XXXX XXXX XXXX XXXX XXXXXXXX XXXX XXXX XXXXXXXX XXXX, CA XXXX mobile. XXXX email. XXXX Email to Wells Fargo Online Fraud Department : Dear Online Fraud Department, I called on Friday to request that a manager call me regarding several claims that are being investigated due to a work scam I fell victim to. At the present time my account ( ATM # XXXX XXXX XXXX XXXX ) is in a negative balance due to transfer done using apps and cash at an XXXX atm. The whole start of this process began when a check was deposited by myself via mobile app ad was approved by Wells Fargo it was that moment when I assumed that the individuals I were dealing with were legitimate. I have had experiences with Wells Fargo where I was protected immediately one a deposit from my husband for a settlement that was made from a different account and these funds were held for 7 days. Another is a call from Wells Fargo where some activity was occurring in a foreign country and I was contacted and the charges were stopped and my account closed and a new card issued. 

I find it hard to believe that a fraud check would not have been caught within the days that it took to contact me regarding these scammers. 

I am now in the process of a divorce and limited on funds and my account has already begun sending back charges due to the negative amount from this scam. 

I would like to speak to a manager and go over what I feel, as a member of Wells Fargo for over 25 years are having to feel the impact of a scam. 

Thank you for your time and attention. My contact info is below."
